time,siteID,range,range_rate
334.8334833483,1.0000000000,1698.6116890568,6.5785391067
340.2340234023,1.0000000000,1734.1589244222,6.5854175583
345.6345634563,1.0000000000,1769.7373629976,6.5911717193
351.0351035104,1.0000000000,1805.3484578418,6.5958543828
356.4356435644,1.0000000000,1840.9812842258,6.5995597323
361.8361836184,1.0000000000,1876.6286549085,6.6023851678
367.2367236724,1.0000000000,1912.2898550099,6.6043475737
372.6372637264,1.0000000000,1947.9620802987,6.6055579473
378.0378037804,1.0000000000,1983.6379718344,6.6060620571
383.4383438344,1.0000000000,2019.3135443047,6.6058724414
388.8388838884,1.0000000000,2054.9874595136,6.6050529885
394.2394239424,1.0000000000,2090.6526343172,6.6036630597
399.6399639964,1.0000000000,2126.3123967467,6.6017688960
405.0405040504,1.0000000000,2161.9587810498,6.5993124550
410.4410441044,1.0000000000,2197.5925217660,6.5964122767
415.8415841584,1.0000000000,2233.2070776482,6.5930722212
421.2421242124,1.0000000000,2268.8036207171,6.5893009025
426.6426642664,1.0000000000,2304.3766803679,6.5851483428
432.0432043204,1.0000000000,2339.9274302405,6.5806390332
437.4437443744,1.0000000000,2375.4539737083,6.5757566762
442.8442844284,1.0000000000,2410.9531275949,6.5705852831
448.2448244824,1.0000000000,2446.4236396904,6.5650933749
453.6453645365,1.0000000000,2481.8634005561,6.5593227545
459.0459045905,1.0000000000,2517.2713701287,6.5532788558
464.4464446445,1.0000000000,2552.6458976817,6.5469684244
469.8469846985,1.0000000000,2587.9847707340,6.5404277471
475.2475247525,1.0000000000,2623.2864551764,6.5336577800
480.6480648065,1.0000000000,2658.5546146122,6.5266780833
486.0486048605,1.0000000000,2693.7841261008,6.5194784724
491.4491449145,1.0000000000,2728.9713811536,6.5120759501
496.8496849685,1.0000000000,2764.1206869435,6.5045378730
502.2502250225,1.0000000000,2799.2284362741,6.4967843580
507.6507650765,1.0000000000,2834.2917127059,6.4888545668
513.0513051305,1.0000000000,2869.3150829692,6.4808062729
518.4518451845,1.0000000000,2904.2905207171,6.4725681053
523.8523852385,1.0000000000,2939.2238494373,6.4642280700
529.2529252925,1.0000000000,2974.1116672416,6.4557369439
534.6534653465,1.0000000000,3008.9540117463,6.4470956350
540.0540054005,1.0000000000,3043.7462255878,6.4383806780
545.4545454545,1.0000000000,3078.4948224059,6.4295070815
550.8550855086,1.0000000000,3113.1935574271,6.4205202838
556.2556255626,1.0000000000,3147.8412762468,6.4114447464
561.6561656166,1.0000000000,3182.4444702046,6.4022752634
567.0567056706,1.0000000000,3216.9945686196,6.3929966421
572.4572457246,1.0000000000,3251.4941300815,6.3836388254
577.8577857786,1.0000000000,3285.9439005510,6.3741735970
583.2583258326,1.0000000000,3320.3424683319,6.3646341518
588.6588658866,1.0000000000,3354.6879218404,6.3550176660
594.0594059406,1.0000000000,3388.9831123186,6.3453074539
599.4599459946,1.0000000000,3423.2263678601,6.3355433757
604.8604860486,1.0000000000,3457.4138551929,6.3256884436
610.2610261026,1.0000000000,3491.5497558818,6.3158097889
615.6615661566,1.0000000000,3525.6304730911,6.3058111858
621.0621062106,1.0000000000,3559.6582890277,6.2957813054
626.4626462646,1.0000000000,3593.6308507946,6.2856864753
631.8631863186,1.0000000000,3627.5521133573,6.2755519207
637.2637263726,1.0000000000,3661.4159617728,6.2653309179
642.6642664266,1.0000000000,3695.2230043202,6.2550775318
648.0648064806,1.0000000000,3728.9770039046,6.2447590334
653.4653465347,1.0000000000,3762.6734860399,6.2344288829
658.8658865887,1.0000000000,3796.3141558178,6.2240282090
664.2664266427,1.0000000000,3829.8996748079,6.2135635972
669.6669666967,1.0000000000,3863.4266886428,6.2030862857
2873.0873087309,2.0000000000,4780.8370884769,-5.2511758233
2878.4878487849,2.0000000000,4752.4584330107,-5.2585849474
2883.8883888389,2.0000000000,4724.0380077225,-5.2659603348
2889.2889288929,2.0000000000,4695.5789823798,-5.2732892495
2894.6894689469,2.0000000000,4667.0788485999,-5.2805829364
2900.0900090009,2.0000000000,4638.5422086136,-5.2878223726
2905.4905490549,2.0000000000,4609.9678390765,-5.2950318710
2910.8910891089,2.0000000000,4581.3500863289,-5.3021579558
2916.2916291629,2.0000000000,4552.6973687947,-5.3092518482
2921.6921692169,2.0000000000,4524.0043715806,-5.3162753594
2927.0927092709,2.0000000000,4495.2766646456,-5.3232648967
2932.4932493249,2.0000000000,4466.5092673618,-5.3301826154
2937.8937893789,2.0000000000,4437.7063169741,-5.3370666080
2943.2943294329,2.0000000000,4408.8619342896,-5.3438734273
2948.6948694869,2.0000000000,4379.9857704892,-5.3506179546
2954.0954095410,2.0000000000,4351.0688102040,-5.3573176425
2959.4959495950,2.0000000000,4322.1207132118,-5.3639110018
2964.8964896490,2.0000000000,4293.1345260034,-5.3704698097
2970.2970297030,2.0000000000,4264.1143837218,-5.3769449128
2975.6975697570,2.0000000000,4235.0580833366,-5.3833269965
2981.0981098110,2.0000000000,4205.9662790085,-5.3896752794
2986.4986498650,2.0000000000,4176.8444138038,-5.3959120873
2991.8991899190,2.0000000000,4147.6875068670,-5.4020863896
2997.2997299730,2.0000000000,4118.4955321779,-5.4081722003
3002.7002700270,2.0000000000,4089.2706854136,-5.4141832024
3008.1008100810,2.0000000000,4060.0173394673,-5.4200938659
3013.5013501350,2.0000000000,4030.7293694168,-5.4259127867
3018.9018901890,2.0000000000,4001.4111971980,-5.4316404835
3024.3024302430,2.0000000000,3972.0630081697,-5.4372524245
3029.7029702970,2.0000000000,3942.6825992943,-5.4427889134
3035.1035103510,2.0000000000,3913.2746939909,-5.4482152889
3040.5040504050,2.0000000000,3883.8361623875,-5.4535328965
3045.9045904590,2.0000000000,3854.3694023145,-5.4587190959
3051.3051305131,2.0000000000,3824.8765767803,-5.4638026191
3056.7056705671,2.0000000000,3795.3541124310,-5.4687666359
3062.1062106211,2.0000000000,3765.8083207063,-5.4735934748
3067.5067506751,2.0000000000,3736.2346189230,-5.4783136056
3072.9072907291,2.0000000000,3706.6356711497,-5.4829157421
3078.3078307831,2.0000000000,3677.0156843625,-5.4873367919
3083.7083708371,2.0000000000,3647.3691871610,-5.4916241419
3089.1089108911,2.0000000000,3617.6995986842,-5.4957763749
3094.5094509451,2.0000000000,3588.0095555056,-5.4997645713
3099.9099909991,2.0000000000,3558.2958436413,-5.5035795119
3105.3105310531,2.0000000000,3528.5627200963,-5.5072518524
3110.7110711071,2.0000000000,3498.8113825556,-5.5107286460
3116.1116111611,2.0000000000,3469.0427945934,-5.5140634237
3121.5121512151,2.0000000000,3439.2541708341,-5.5171662079
3126.9126912691,2.0000000000,3409.4513311490,-5.5201074316
3132.3132313231,2.0000000000,3379.6319656340,-5.5228407973
3137.7137713771,2.0000000000,3349.7985239453,-5.5253755628
3143.1143114311,2.0000000000,3319.9514671065,-5.5276763681
3148.5148514851,2.0000000000,3290.0951273261,-5.5297646499
3153.9153915392,2.0000000000,3260.2242446075,-5.5315736343
3159.3159315932,2.0000000000,3230.3467146564,-5.5332091941
3164.7164716472,2.0000000000,3200.4611802145,-5.5345881685
3170.1170117012,2.0000000000,3170.5683634863,-5.5356682886
3175.5175517552,2.0000000000,3140.6714728266,-5.5364720909
3180.9180918092,2.0000000000,3110.7695001194,-5.5370284938
3186.3186318632,2.0000000000,3080.8651678914,-5.5372511629
3191.7191719172,2.0000000000,3050.9611545145,-5.5372078216
3197.1197119712,2.0000000000,3021.0578634777,-5.5367992529
3202.5202520252,2.0000000000,2991.1583695610,-5.5360830585
3207.9207920792,2.0000000000,2961.2633450176,-5.5350262900
3213.3213321332,2.0000000000,2931.3766988585,-5.5335767538
3218.7218721872,2.0000000000,2901.4957945604,-5.5317796917
3224.1224122412,2.0000000000,2871.6258063949,-5.5295652896
3229.5229522952,2.0000000000,2841.7693590299,-5.5269649792
3234.9234923492,2.0000000000,2811.9298393980,-5.5238923064
3240.3240324032,2.0000000000,2782.1050220194,-5.5204063163
3245.7245724572,2.0000000000,2752.3037132850,-5.5164171903
3251.1251125113,2.0000000000,2722.5235433166,-5.5119647176
3256.5256525653,2.0000000000,2692.7710921177,-5.5069799155
