time,siteID,range,range_rate
23319.5319531953,0.0000000000,979.0414117158,3.7199685675
23324.9324932493,0.0000000000,999.7929992480,3.9627763858
23330.3330333033,0.0000000000,1021.8115269339,4.1891274200
23335.7335733573,0.0000000000,1045.0117089330,4.3996145605
23341.1341134113,0.0000000000,1069.3071710780,4.5949072571
23346.5346534653,0.0000000000,1094.6154643242,4.7758306786
23351.9351935194,0.0000000000,1120.8647008811,4.9431471498
23357.3357335734,0.0000000000,1147.9825932039,5.0976849327
23362.7362736274,0.0000000000,1175.9036491397,5.2402785850
23368.1368136814,0.0000000000,1204.5660684093,5.3717870357
23373.5373537354,0.0000000000,1233.9071713846,5.4929635951
23378.9378937894,0.0000000000,1263.8766217054,5.6045534835
23384.3384338434,0.0000000000,1294.4263001503,5.7073007397
23389.7389738974,0.0000000000,1325.5059862701,5.8018614438
23395.1395139514,0.0000000000,1357.0788111515,5.8888688370
23400.5400540054,0.0000000000,1389.1007551429,5.9689526703
23405.9405940594,0.0000000000,1421.5379200535,6.0425745703
23411.3411341134,0.0000000000,1454.3555124136,6.1103101218
23416.7416741674,0.0000000000,1487.5277478371,6.1725836188
23422.1422142214,0.0000000000,1521.0177573753,6.2298326910
23427.5427542754,0.0000000000,1554.8067222188,6.2824455371
23432.9432943294,0.0000000000,1588.8683431256,6.3307746259
23438.3438343834,0.0000000000,1623.1790557232,6.3751817768
23443.7443744374,0.0000000000,1657.7200609489,6.4159205490
23449.1449144914,0.0000000000,1692.4712099792,6.4533108946
23454.5454545455,0.0000000000,1727.4174543816,6.4875821892
23459.9459945995,0.0000000000,1762.5402594667,6.5189769424
23465.3465346535,0.0000000000,1797.8249768729,6.5477022818
23470.7470747075,0.0000000000,1833.2581180992,6.5739409114
23476.1476147615,0.0000000000,1868.8256779442,6.5979075939
23481.5481548155,0.0000000000,1904.5174683653,6.6197329382
23486.9486948695,0.0000000000,1940.3218730512,6.6396003675
23492.3492349235,0.0000000000,1976.2290730556,6.6575574017
23497.7497749775,0.0000000000,2012.2286303941,6.6738658903
23503.1503150315,0.0000000000,2048.3096283030,6.6885255038
23508.5508550855,0.0000000000,2084.4716334552,6.7017169428
23513.9513951395,0.0000000000,2120.6936024672,6.7135116376
23519.3519351935,0.0000000000,2156.9799308204,6.7239856085
23524.7524752475,0.0000000000,2193.3200642087,6.7332512455
23530.1530153015,0.0000000000,2229.7034238922,6.7413970825
23535.5535553555,0.0000000000,2266.1305700581,6.7484778091
23540.9540954095,0.0000000000,2302.5951364362,6.7545261238
23546.3546354635,0.0000000000,2339.0840500086,6.7596429061
23551.7551755176,0.0000000000,2375.6047562157,6.7638751691
29238.5238523852,0.0000000000,1593.3810474040,-4.8957083237
29243.9243924392,0.0000000000,1567.2279814491,-4.7882977687
29249.3249324932,0.0000000000,1541.6715775541,-4.6760331799
29254.7254725473,0.0000000000,1516.7323161541,-4.5586658932
29260.1260126013,0.0000000000,1492.4407228125,-4.4360683823
29265.5265526553,0.0000000000,1468.8272690492,-4.3080687268
29270.9270927093,0.0000000000,1445.9189224458,-4.1744750510
29276.3276327633,0.0000000000,1423.7494514387,-4.0351146292
29281.7281728173,0.0000000000,1402.3470096735,-3.8898776152
29287.1287128713,0.0000000000,1381.7427573451,-3.7386671139
29292.5292529253,0.0000000000,1361.9767620801,-3.5813816867
29297.9297929793,0.0000000000,1343.0734124553,-3.4179691662
29303.3303330333,0.0000000000,1325.0686090020,-3.2484207886
29308.7308730873,0.0000000000,1307.9982390517,-3.0727516373
29314.1314131413,0.0000000000,1291.8920977328,-2.8910116442
29319.5319531953,0.0000000000,1276.7825787472,-2.7033637848
29324.9324932493,0.0000000000,1262.7026001631,-2.5099521722
29330.3330333033,0.0000000000,1249.6817069882,-2.3110364228
29335.7335733573,0.0000000000,1237.7515299597,-2.1068389353
29341.1341134113,0.0000000000,1226.9342968721,-1.8978489638
29346.5346534653,0.0000000000,1217.2590963991,-1.6843181114
29351.9351935194,0.0000000000,1208.7491720413,-1.4668429097
29357.3357335734,0.0000000000,1201.4244030716,-1.2459148396
29362.7362736274,0.0000000000,1195.2965924006,-1.0220748987
29368.1368136814,0.0000000000,1190.3877367330,-0.7960217872
29373.5373537354,0.0000000000,1186.7014361006,-0.5683989715
29378.9378937894,0.0000000000,1184.2496500953,-0.3398733979
29384.3384338434,0.0000000000,1183.0330852840,-0.1111832070
29389.7389738974,0.0000000000,1183.0474620754,0.1169484586
29395.1395139514,0.0000000000,1184.2930301822,0.3438316947
29400.5400540054,0.0000000000,1186.7587205041,0.5687244469
29405.9405940594,0.0000000000,1190.4313772575,0.7910165021
29411.3411341134,0.0000000000,1195.2958049829,1.0100007923
29416.7416741674,0.0000000000,1201.3309490978,1.2251213322
29422.1422142214,0.0000000000,1208.5190879691,1.4358209238
29427.5427542754,0.0000000000,1216.8316073494,1.6416094577
29432.9432943294,0.0000000000,1226.2429602022,1.8420499444
29438.3438343834,0.0000000000,1236.7181855735,2.0367909408
29443.7443744374,0.0000000000,1248.2290894085,2.2255483825
29449.1449144914,0.0000000000,1260.7463981711,2.4080809008
29454.5454545455,0.0000000000,1274.2276171321,2.5841457344
29459.9459945995,0.0000000000,1288.6455968322,2.7536672584
29465.3465346535,0.0000000000,1303.9573507409,2.9165972907
29470.7470747075,0.0000000000,1320.1367339204,3.0728605164
29476.1476147615,0.0000000000,1337.1377943368,3.2225645352
29481.5481548155,0.0000000000,1354.9307047079,3.3656795418
29486.9486948695,0.0000000000,1373.4790702761,3.5023337510
29492.3492349235,0.0000000000,1392.7479562144,3.6326430024
29497.7497749775,0.0000000000,1412.7049358968,3.7568084144
29503.1503150315,0.0000000000,1433.3151769699,3.8749398713
29508.5508550855,0.0000000000,1454.5454046418,3.9872345441
29513.9513951395,0.0000000000,1476.3708632775,4.0938772926
29519.3519351935,0.0000000000,1498.7551196322,4.1951052060
29524.7524752475,0.0000000000,1521.6729360150,4.2910891005
29530.1530153015,0.0000000000,1545.0954056258,4.3820881526
29535.5535553555,0.0000000000,1568.9953523682,4.4682242658
29540.9540954095,0.0000000000,1593.3482993999,4.5498000960
29546.3546354635,0.0000000000,1618.1306890821,4.6269821541
29551.7551755176,0.0000000000,1643.3189382074,4.6999750001
29557.1557155716,0.0000000000,1668.8892428476,4.7689899498
29562.5562556256,0.0000000000,1694.8210019433,4.8341959546
29567.9567956796,0.0000000000,1721.0947809202,4.8958147225
29573.3573357336,0.0000000000,1747.6937297994,4.9539989095
29578.7578757876,0.0000000000,1774.6017191178,5.0089259260
29584.1584158416,0.0000000000,1801.7915388146,5.0607732977
29589.5589558956,0.0000000000,1829.2552442316,5.1097036426
29594.9594959496,0.0000000000,1856.9762666204,5.1558378657
29600.3600360036,0.0000000000,1884.9419134024,5.1993281240
29605.7605760576,0.0000000000,1913.1293699370,5.2403340411
29611.1611161116,0.0000000000,1941.5379964143,5.2789582432
29616.5616561656,0.0000000000,1970.1445387587,5.3153602206
29621.9621962196,0.0000000000,1998.9438330713,5.3496235893
29627.3627362736,0.0000000000,2027.9228121671,5.3818626862
